Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ
1,1,HOU,Jadeveon Clowney,DE,21,2022,0,3,8,53,39,109,0,0,0,0,0,0,0,0,0,0,0,224,1,43,South Carolina
1,2,STL,Greg Robinson,T,21,2019,0,0,5,24,13,83,0,0,0,0,0,0,0,0,0,0,0,,,,Auburn
1,3,JAX,Blake Bortles,QB,22,2019,0,0,5,44,44,78,1562,2634,17649,103,75,283,1766,8,1,20,1,,,,Central Florida
1,4,BUF,Sammy Watkins,WR,21,2022,0,0,6,43,20,111,0,1,0,0,1,11,76,0,364,5384,34,1,,,Clemson
1,5,OAK,Khalil Mack,LB,23,2022,3,7,8,89,42,134,0,0,0,0,0,0,0,0,0,0,0,385,3,84.5,Buffalo
1,6,ATL,Jake Matthews,T,22,2022,0,1,9,65,65,145,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M
1,7,TAM,Mike Evans,WR,21,2022,0,4,9,66,66,137,0,0,0,0,0,1,10,0,683,10425,81,5,,,Texas A&M
1,8,CLE,Justin Gilbert,DB,22,2016,0,0,0,4,3,35,0,0,0,0,0,0,0,0,0,0,0,36,1,,Oklahoma St.
1,9,MIN,Anthony Barr,LB,22,2022,0,4,7,56,52,112,0,0,0,0,0,0,0,0,0,0,0,370,5,18.5,UCLA
1,10,DET,Eric Ebron,TE,21,2021,0,1,4,29,15,106,0,1,0,0,0,5,-6,3,351,3837,33,,,,North Carolina
1,11,TEN,Taylor Lewan,T,23,2022,0,3,7,48,48,105,0,0,0,0,0,0,0,0,1,10,1,,,,Michigan
1,12,NYG,Odell Beckham Jr.,WR,21,2021,0,3,6,55,41,96,4,6,144,2,0,23,170,1,531,7367,56,3,,,LSU
1,13,STL,Aaron Donald,DT,23,2022,7,9,9,115,115,138,0,0,0,0,0,0,0,0,0,0,0,312,,103,Pittsburgh
1,14,CHI,Kyle Fuller,DB,22,2022,1,2,5,48,45,113,0,0,0,0,0,0,0,0,0,0,0,371,19,,Virginia Tech
1,15,PIT,Ryan Shazier,LB,22,2017,0,2,3,27,27,46,0,0,0,0,0,0,0,0,0,0,0,202,7,7,Ohio St.
1,16,DAL,Zack Martin,G,23,2022,6,8,9,93,93,137,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame
