Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm-rnd-yr)
Ikenna Enechukwu,DE,Rice,College Stats,6-4,264,4.7,31.5,,120,,,
Tiyon Evans,RB,Louisville,College Stats,5-10,225,4.52,30.5,,,,,
Zach Evans,RB,Mississippi,College Stats,5-11,202,,,,,,,
Zay Flowers,WR,Boston Col.,College Stats,5-9,182,4.42,35.5,,127,,,
Emmanuel Forbes,CB,Mississippi St.,College Stats,6-1,166,4.35,37.5,,131,,,
Bryce Ford-Wheaton,WR,West Virginia,College Stats,6-4,221,4.38,41,,129,6.97,4.15,
Alex Forsyth,C,Oregon,College Stats,6-4,303,,20.5,,95,,,
Isaiah Foskey,EDGE,Notre Dame,College Stats,6-5,264,4.58,34,22,125,7.28,4.41,
Blake Freeland,OT,BYU,College Stats,6-8,302,4.98,37,,120,7.46,4.71,
Jon Gaines,G,UCLA,College Stats,6-4,303,5.01,32.5,,114,7.31,4.45,
Connor Galvin,OT,Baylor,College Stats,6-7,293,5.48,30.5,,104,8,4.92,
Mekhi Garner,CB,LSU,College Stats,6-2,212,4.55,38,,128,,,
Ali Gaye,EDGE,LSU,College Stats,6-6,263,,,,,,,
Jahmyr Gibbs,RB,Alabama,College Stats,5-9,199,4.36,33.5,,,,,
Noah Gindorff,TE,North Dakota St.,,6-6,263,,,16,,,,
Christian Gonzalez,CB,Oregon,College Stats,6-1,197,4.38,41.5,14,133,,,
Richard Gouraige,OT,Florida,College Stats,6-5,306,,,,,,,
Jalen Graham,LB,Purdue,College Stats,6-2,220,4.64,30.5,,112,,,
Eric Gray,RB,Oklahoma,College Stats,5-10,207,,37.5,,118,,,
Antoine Green,WR,North Carolina,College Stats,6-2,199,4.47,33.5,,123,6.99,4.27,
Jovaughn Gwyn,G,South Carolina,College Stats,6-2,297,5.12,27.5,,109,7.9,4.8,
Jake Haener,QB,Fresno St.,College Stats,6-0,207,,35,,114,7.01,,
Derick Hall,EDGE,Auburn,College Stats,6-3,254,4.55,33.5,,127,,,
Jaren Hall,QB,BYU,College Stats,6-0,207,,,,,,,
Nick Hampton,EDGE,Appalachian St.,College Stats,6-2,236,4.58,35.5,,120,,,
Anton Harrison,OT,Oklahoma,College Stats,6-4,315,4.98,28.5,,105,,,
Zach Harrison,EDGE,Ohio St.,College Stats,6-6,274,,,25,,,,
Jadon Haselwood,WR,Arkansas,College Stats,6-2,215,4.66,37,,123,6.98,4.31,
Ryan Hayes,OT,Michigan,College Stats,6-6,298,5.18,30,,103,7.39,,
Malik Heath,WR,Mississippi,College Stats,6-2,213,4.64,34,,124,6.96,4.46,
DeMarcco Hellams,SAF,Alabama,College Stats,6-1,203,4.57,31,,121,,,
Daiyan Henley,LB,Washington St.,College Stats,6-1,225,4.54,35,,125,,,
KJ Henry,EDGE,Clemson,,6-4,251,4.63,31.5,,112,,,
Nick Herbig,EDGE,Wisconsin,College Stats,6-2,240,4.65,,25,,,,
Shaka Heyward,LB,Duke,College Stats,6-3,235,4.53,31,22,116,7.32,4.4,
Ronnie Hickman,SAF,Ohio St.,College Stats,6-1,203,,,,,,,
Elijah Higgins,WR,Stanford,College Stats,6-3,235,4.54,35,,126,7.01,,
Brandon Hill,SAF,Pittsburgh,College Stats,5-10,193,4.43,35.5,15,123,,,
Tre'Vius Hodges-Tomlinson,CB,TCU,College Stats,5-8,178,4.41,39,12,132,,,
Hendon Hooker,QB,Tennessee,College Stats,6-3,217,,,,,,,
Dylan Horton,EDGE,TCU,College Stats,6-4,257,,34,18,120,,,
Jordan Howden,SAF,Minnesota,College Stats,6-0,203,4.49,33.5,14,119,,,
Evan Hull,RB,Northwestern,College Stats,5-10,209,4.47,37,,123,6.9,4.38,
Xavier Hutchinson,WR,Iowa St.,College Stats,6-2,203,4.53,36,,116,6.91,4.35,
Jalin Hyatt,WR,Tennessee,College Stats,6-0,176,4.4,40,,135,,,
Mohamed Ibrahim,RB,Minnesota,College Stats,5-8,203,,,,,,,
Andre Carter II,EDGE,Army,College Stats,6-7,256,,30,11,109,,4.36,
Jason Taylor II,SAF,Oklahoma St.,College Stats,6-0,204,4.5,43,14,129,,,
Mark Evans II,OT,University of Arkansas at Pine Bluff,,6-3,303,5.44,26.5,,101,7.75,4.92,
Rashad Torrence II,SAF,Florida,College Stats,6-0,193,4.72,33.5,20,119,,,
Clark Phillips III,CB,Utah,College Stats,5-9,184,4.51,33,18,,,4.32,
Trey Dean III,SAF,Florida,College Stats,6-2,200,4.75,36.5,25,124,,,
Siaki Ika,DT,Baylor,College Stats,6-3,335,5.39,,,,7.8,4.99,
Thomas Incoom,EDGE,Central Michigan,College Stats,6-2,262,4.66,30.5,23,118,,,
Andrei Iosivas,WR,Princeton,,6-3,205,4.43,39,19,128,6.85,4.12,
Will McDonald IV,EDGE,Iowa St.,,6-4,239,,36,,132,,,
Kearis Jackson,WR,Georgia,College Stats,5-11,196,4.55,,,126,,,
Rakim Jarrett,WR,Maryland,College Stats,6-0,192,4.44,35.5,13,123,,,
Michael Jefferson,WR,Louisiana,,6-4,199,4.56,37,16,133,7.03,4.56,
Jaray Jenkins,WR,LSU,College Stats,6-2,204,4.6,29.5,20,,,,
Anthony Johnson,CB,Virginia,College Stats,6-2,205,4.63,30.5,15,116,,,
Antonio Johnson,SAF,Texas A&M,College Stats,6-2,198,4.52,31,8,118,,,
CJ Johnson,WR,East Carolina,,6-2,224,,,,,,,
DJ Johnson,EDGE,Oregon,,6-4,260,4.49,32,28,110,,,
Roschon Johnson,RB,Texas,College Stats,6-0,219,4.58,31.5,,122,,,
Quentin Johnston,WR,TCU,College Stats,6-3,208,,40.5,,134,,,
Broderick Jones,OT,Georgia,College Stats,6-5,311,4.97,30,,108,,,
Cam Jones,LB,Indiana,College Stats,6-1,226,4.69,33,17,,,,
Charlie Jones,WR,Purdue,College Stats,5-11,175,4.43,36.5,13,124,,,
Dawand Jones,OT,Ohio St.,College Stats,6-8,374,5.35,,,,,,
Jaylon Jones,CB,Texas A&M,College Stats,6-2,200,4.57,38,14,122,6.88,4.3,
Nic Jones,CB,Ball St.,College Stats,6-0,189,4.51,34.5,,122,,4.34,
Tyreque Jones,SAF,Boise St.,College Stats,6-2,195,4.52,32,,119,,4.48,
Brandon Joseph,SAF,Notre Dame,College Stats,6-0,202,4.62,30.5,17,118,7.08,4.23,
Andre Jones Jr.,EDGE,Louisiana,,6-5,248,,29,,116,,,
