Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ
1,1,CAR,Bryce Young,QB,22,,0,0,0,,,,,,,,,,,,,,,,,,Alabama
1,2,HOU,C.J. Stroud,QB,21,,0,0,0,,,,,,,,,,,,,,,,,,Ohio St.
1,3,HOU,Will Anderson Jr.,LB,22,,0,0,0,,,,,,,,,,,,,,,,,,Alabama
1,4,IND,Anthony Richardson,QB,21,,0,0,0,,,,,,,,,,,,,,,,,,Florida
1,5,SEA,Devon Witherspoon,DB,22,,0,0,0,,,,,,,,,,,,,,,,,,Illinois
1,6,ARI,Paris Johnson Jr.,OL,22,,0,0,0,,,,,,,,,,,,,,,,,,Ohio St.
1,7,LVR,Tyree Wilson,OLB,23,,0,0,0,,,,,,,,,,,,,,,,,,Texas Tech
1,8,ATL,Bijan Robinson,RB,21,,0,0,0,,,,,,,,,,,,,,,,,,Texas
1,9,PHI,Jalen Carter,DL,22,,0,0,0,,,,,,,,,,,,,,,,,,Georgia
1,10,CHI,Darnell Wright,OL,22,,0,0,0,,,,,,,,,,,,,,,,,,Tennessee
1,11,TEN,Peter Skoronski,OL,22,,0,0,0,,,,,,,,,,,,,,,,,,Northwestern
1,12,DET,Jahmyr Gibbs,RB,21,,0,0,0,,,,,,,,,,,,,,,,,,Alabama
1,13,GNB,Lukas Van Ness,DL,22,,0,0,0,,,,,,,,,,,,,,,,,,Iowa
1,14,PIT,Broderick Jones,OL,22,,0,0,0,,,,,,,,,,,,,,,,,,Georgia
1,15,NYJ,Will McDonald IV,DE,24,,0,0,0,,,,,,,,,,,,,,,,,,Iowa St.
1,16,WAS,Emmanuel Forbes,CB,22,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi St.
1,17,NWE,Christian Gonzalez,DB,21,,0,0,0,,,,,,,,,,,,,,,,,,Oregon
1,18,DET,Jack Campbell,LB,23,,0,0,0,,,,,,,,,,,,,,,,,,Iowa
1,19,TAM,Calijah Kancey,DL,22,,0,0,0,,,,,,,,,,,,,,,,,,Pittsburgh
1,20,SEA,Jaxon Smith-Njigba,WR,21,,0,0,0,,,,,,,,,,,,,,,,,,Ohio St.
1,21,LAC,Quentin Johnston,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,TCU
1,22,BAL,Zay Flowers,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Boston Col.
1,23,MIN,Jordan Addison,WR,21,,0,0,0,,,,,,,,,,,,,,,,,,USC
1,24,NYG,Deonte Banks,DB,22,,0,0,0,,,,,,,,,,,,,,,,,,Maryland
1,25,BUF,Dalton Kincaid,TE,23,,0,0,0,,,,,,,,,,,,,,,,,,Utah
1,26,DAL,Mazi Smith,DL,22,,0,0,0,,,,,,,,,,,,,,,,,,Michigan
1,27,JAX,Anton Harrison,OL,21,,0,0,0,,,,,,,,,,,,,,,,,,Oklahoma
1,28,CIN,Myles Murphy,DE,21,,0,0,0,,,,,,,,,,,,,,,,,,Clemson
