Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
2,39,TAM,Arrelious Benn,WR,21,2017,0,0,2,8,7,61,0,0,0,0,0,15,44,0,65,990,6,24,,,Illinois,College Stats,BennAr00
2,40,MIA,Koa Misi,LB,23,2016,0,0,6,30,30,84,0,0,0,0,0,0,0,0,0,0,0,258,,12,Utah,College Stats,MisiKo99
2,41,BUF,Torell Troup,DT,21,2011,0,0,0,2,2,21,0,0,0,0,0,0,0,0,0,0,0,17,,,Central Florida,,TrouTo00
2,42,NWE,Rob Gronkowski,TE,21,2021,4,5,11,78,70,143,0,0,0,0,0,1,2,1,621,9286,92,,,,Arizona,College Stats,GronRo00
2,43,BAL,Sergio Kindle,LB,22,2012,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,,,Texas,,KindSe99
2,44,OAK,Lamarr Houston,DE,23,2017,0,0,5,31,25,100,0,0,0,0,0,0,0,0,0,0,0,231,1,30.5,Texas,College Stats,HousLa99
2,45,DEN,Zane Beadles,G,23,2018,0,1,7,53,32,137,0,0,0,0,0,0,0,0,0,0,0,,,,Utah,College Stats,BeadZa20
2,46,NYG,Linval Joseph,DT,21,2022,0,2,11,70,16,179,0,0,0,0,0,0,0,0,0,0,0,387,,25.5,East Carolina,College Stats,JoseLi99
2,47,ARI,Daryl Washington,LB,23,2013,0,1,4,34,34,59,0,0,0,0,0,0,0,0,0,0,0,329,6,18,TCU,College Stats,WashDa99
2,48,CAR,Jimmy Clausen,QB,22,2015,0,0,1,3,0,21,255,472,2520,7,14,37,102,0,0,0,0,,,,Notre Dame,College Stats,ClauJi00
2,49,SFO,Taylor Mays,DB,22,2015,0,0,0,9,3,80,0,0,0,0,0,0,0,0,0,0,0,89,,1,USC,College Stats,MaysTa99
