Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ
1,1,ARI,Kyler Murray,QB,22,2022,0,2,4,51,51,57,1316,1971,13848,84,41,381,2204,23,0,7,0,,,,Oklahoma
1,2,SFO,Nick Bosa,DE,21,2022,1,3,3,41,41,51,0,0,0,0,0,0,0,0,0,0,0,116,1,43,Ohio St.
1,3,NYJ,Quinnen Williams,DT,21,2022,1,1,4,32,32,57,0,0,0,0,0,0,0,0,0,0,0,118,,27.5,Alabama
1,4,OAK,Clelin Ferrell,DE,22,2022,0,0,2,12,12,58,0,0,0,0,0,0,0,0,0,0,0,58,,10,Clemson
1,5,TAM,Devin White,LB,21,2022,0,1,4,40,40,62,0,0,0,0,0,0,0,0,0,0,0,315,1,20.5,LSU
1,6,NYG,Daniel Jones,QB,22,2022,0,0,4,38,38,54,1113,1740,11603,60,34,292,1708,12,1,16,0,,,,Duke
1,7,JAX,Josh Allen,LB,22,2022,0,1,3,23,23,57,0,0,0,0,0,0,0,0,0,0,0,119,1,27.5,Kentucky
1,8,DET,T.J. Hockenson,TE,22,2022,0,2,2,21,17,57,0,0,0,0,0,1,0,0,246,2587,18,2,,,Iowa
1,9,BUF,Ed Oliver,DT,21,2022,0,0,3,29,29,62,0,0,0,0,0,0,0,0,0,0,0,96,,14.5,Houston
1,10,PIT,Devin Bush Jr.,LB,21,2022,0,0,2,23,23,52,0,0,0,0,0,0,0,0,0,0,0,173,2,4,Michigan
1,11,CIN,Jonah Williams,G,21,2022,0,0,3,23,23,42,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama
1,12,GNB,Rashan Gary,LB,21,2022,0,0,2,15,15,56,0,0,0,0,0,0,0,0,0,0,0,80,,22.5,Michigan
1,13,MIA,Christian Wilkins,DT,23,2022,0,0,4,27,27,64,0,0,0,0,0,0,0,0,2,2,2,166,1,11.5,Clemson
1,14,ATL,Chris Lindstrom,G,22,2022,0,1,3,26,26,55,0,0,0,0,0,0,0,0,0,0,0,2,,,Boston Col.
1,15,WAS,Dwayne Haskins,QB,22,2020,0,0,0,4,4,16,267,444,2804,12,14,40,147,1,0,0,0,,,,Ohio St.
1,16,CAR,Brian Burns,DE,21,2022,0,2,3,29,29,64,0,0,0,0,0,0,0,0,0,0,0,119,,38,Florida St.
1,17,NYG,Dexter Lawrence,DT,21,2022,0,1,3,31,31,64,0,0,0,0,0,0,0,0,0,0,0,116,,16.5,Clemson
1,18,MIN,Garrett Bradbury,C,24,2022,0,0,4,23,23,57,0,0,0,0,0,0,0,0,2,17,0,1,,,North Carolina St.
1,19,TEN,Jeffery Simmons,DT,22,2022,0,2,4,37,37,56,0,0,0,0,0,0,0,0,0,0,0,109,,21,Mississippi St.
1,20,DEN,Noah Fant,TE,21,2022,0,0,4,18,14,64,0,0,0,0,0,3,-12,0,220,2391,14,2,,,Iowa
1,21,GNB,Darnell Savage,S,22,2022,0,0,4,19,19,62,0,0,0,0,0,0,0,0,0,0,0,189,9,1,Maryland
1,22,PHI,Andre Dillard,T,23,2022,0,0,0,7,7,43,0,0,0,0,0,0,0,0,0,0,0,,,,Washington St.
1,23,HOU,Tytus Howard,T,23,2022,0,0,4,23,23,54,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama St.
1,24,OAK,Josh Jacobs,RB,21,2022,1,2,4,36,36,60,0,0,0,0,0,1072,4740,40,160,1152,0,3,,,Alabama
1,25,BAL,Marquise Brown,WR,22,2022,0,0,3,29,24,58,0,0,0,0,0,3,7,0,262,3070,24,3,,,Oklahoma
1,26,WAS,Montez Sweat,DE,23,2022,0,0,3,27,27,59,0,0,0,0,0,0,0,0,0,0,0,99,1,29,Mississippi St.
1,27,OAK,Johnathan Abram,S,22,2022,0,0,2,11,10,43,0,0,0,0,0,0,0,0,0,0,0,167,3,,Mississippi St.
1,28,LAC,Jerry Tillery,DT,22,2022,0,0,1,16,14,62,0,0,0,0,0,0,0,0,0,0,0,65,,10.5,Notre Dame
1,29,SEA,L.J. Collier,DE,23,2022,0,0,1,9,9,45,0,0,0,0,0,0,0,0,0,0,0,24,,3,TCU
1,30,NYG,Deandre Baker,CB,22,2021,0,0,1,6,5,26,0,0,0,0,0,0,0,0,0,0,0,65,,1,Georgia
1,31,ATL,Kaleb McGary,T,24,2022,0,0,4,28,28,63,0,0,0,0,0,0,0,0,1,-3,0,,,,Washington
1,32,NWE,N'Keal Harry,WR,21,2022,0,0,1,7,6,40,0,0,0,0,0,7,49,0,64,714,5,,,,Arizona St.
2,33,ARI,Byron Murphy,CB,21,2022,0,0,3,19,19,56,0,0,0,0,0,0,0,0,0,0,0,184,5,3,Washington
2,34,IND,Rock Ya-Sin,CB,23,2022,0,0,1,13,11,52,0,0,0,0,0,0,0,0,0,0,0,154,2,,Temple
2,35,JAX,Jawaan Taylor,T,21,2022,0,0,4,26,26,66,0,0,0,0,0,0,0,0,0,0,0,1,,,Florida
2,36,SFO,Deebo Samuel,WR,23,2022,1,1,3,33,33,51,1,2,24,1,0,123,782,14,223,3230,12,2,,,South Carolina
2,37,CAR,Greg Little,T,21,2022,0,0,0,8,3,31,0,0,0,0,0,0,0,0,0,0,0,1,,,Mississippi
2,38,BUF,Cody Ford,T,22,2022,0,0,1,15,13,49,0,0,0,0,0,0,0,0,0,0,0,1,,,Oklahoma
2,39,TAM,Sean Murphy-Bunting,CB,22,2022,0,0,1,14,14,53,0,0,0,0,0,0,0,0,0,0,0,139,6,1,Central Michigan
2,40,OAK,Trayvon Mullen,CB,21,2022,0,0,2,10,10,46,0,0,0,0,0,0,0,0,0,0,0,128,4,,Clemson
2,41,DEN,Dalton Risner,T,24,2022,0,0,4,21,21,62,0,0,0,0,0,0,0,0,0,0,0,,,,Kansas St.
2,42,DEN,Drew Lock,QB,22,2021,0,0,1,12,12,24,421,710,4740,25,20,72,285,5,1,1,0,1,,,Missouri
2,43,DET,Jahlani Tavai,LB,22,2022,0,0,2,16,7,61,0,0,0,0,0,0,0,0,0,0,0,112,1,3.5,Hawaii
2,44,GNB,Elgton Jenkins,C,23,2022,0,2,3,31,31,55,0,0,0,0,0,0,0,0,0,0,0,,,,Mississippi St.
2,45,NWE,Joejuan Williams,CB,21,2021,0,0,0,3,3,36,0,0,0,0,0,0,0,0,0,0,0,31,,,Vanderbilt
2,46,CLE,Greedy Williams,CB,21,2022,0,0,1,8,8,39,0,0,0,0,0,0,0,0,0,0,0,78,2,,LSU
2,47,SEA,Marquise Blair,S,22,2022,0,0,0,2,2,25,0,0,0,0,0,0,0,0,0,0,0,34,,,Utah
2,48,NOR,Erik McCoy,C,22,2022,0,0,4,24,24,57,0,0,0,0,0,0,0,0,0,0,0,1,,,Texas A&M
2,49,IND,Ben Banogu,LB,23,2022,0,0,0,4,4,50,0,0,0,0,0,0,0,0,0,0,0,13,,2.5,TCU
2,50,MIN,Irv Smith Jr.,TE,21,2022,0,0,0,8,8,37,0,0,0,0,0,0,0,0,91,858,9,3,,,Alabama
2,51,TEN,A.J. Brown,WR,22,2022,0,2,4,44,28,60,0,2,0,0,0,5,70,1,273,4491,35,4,,,Mississippi
2,52,CIN,Drew Sample,TE,23,2022,0,0,1,4,4,44,0,0,0,0,0,0,0,0,58,458,1,1,,,Washington
2,53,PHI,Miles Sanders,RB,22,2022,0,1,4,29,29,57,0,0,0,0,0,739,3708,20,124,942,3,,,,Penn St.
2,54,HOU,Lonnie Johnson Jr.,CB,23,2022,0,0,0,9,8,56,0,0,0,0,0,0,0,0,0,0,0,136,3,,Kentucky
2,55,HOU,Max Scharping,T,23,2022,0,0,3,17,16,62,0,0,0,0,0,0,0,0,0,7,0,,,,Northern Illinois
2,56,KAN,Mecole Hardman,WR,21,2022,0,1,0,22,22,57,0,0,0,0,0,20,125,2,151,2088,16,1,,,Georgia
2,57,PHI,JJ Arcega-Whiteside,WR,22,2021,0,0,0,2,2,40,0,0,0,0,0,0,0,0,16,290,1,4,,,Stanford
2,58,DAL,Trysten Hill,DT,21,2022,0,0,0,5,5,31,0,0,0,0,0,0,0,0,0,0,0,27,,1.5,Central Florida
2,59,IND,Parris Campbell,WR,22,2022,0,0,1,9,9,32,0,0,0,0,0,11,108,0,97,983,5,1,,,Ohio St.
2,60,LAC,Nasir Adderley,S,22,2022,0,0,3,13,13,50,0,0,0,0,0,0,0,0,0,0,0,168,3,0.5,Delaware
2,61,LAR,Taylor Rapp,S,21,2022,0,0,3,18,18,57,0,0,0,0,0,0,0,0,0,0,0,216,9,1.5,Washington
2,62,ARI,Andy Isabella,WR,22,2022,0,0,0,4,4,41,0,0,0,0,0,6,10,0,33,447,3,3,,,Massachusetts
2,63,KAN,Juan Thornhill,S,23,2022,0,0,4,17,17,65,0,0,0,0,0,0,0,0,0,0,0,161,8,1,Virginia
2,64,SEA,D.K. Metcalf,WR,21,2022,0,1,4,37,37,66,0,0,0,0,0,3,17,0,306,4218,35,2,,,Mississippi
3,65,ARI,Zach Allen,DE,22,2022,0,0,3,16,16,45,0,0,0,0,0,0,0,0,0,0,0,79,1,11.5,Boston Col.
3,66,PIT,Diontae Johnson,WR,23,2022,0,1,4,28,28,64,0,0,0,0,0,19,134,0,340,3646,20,2,,,Toledo
3,67,SFO,Jalen Hurd,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Baylor
3,68,NYJ,Jachai Polite,LB,22,2020,0,0,0,1,,11,0,0,0,0,0,0,0,0,0,0,0,3,,1,Florida
3,69,JAX,Josh Oliver,TE,22,2022,0,0,1,2,0,35,0,0,0,0,0,0,0,0,26,230,2,3,,,San Jose St.
3,70,LAR,Darrell Henderson,RB,22,2022,0,0,1,13,13,50,0,0,0,0,0,396,1742,13,66,474,4,1,,,Memphis
3,71,DEN,Dre'Mont Jones,DT,22,2022,0,0,2,18,18,56,0,0,0,0,0,0,0,0,0,0,0,76,1,22,Ohio St.
3,72,CIN,Germaine Pratt,LB,23,2022,0,0,4,27,27,62,0,0,0,0,0,0,0,0,0,0,0,212,3,1.5,North Carolina St.
3,73,CHI,David Montgomery,RB,22,2022,0,0,3,28,28,60,0,1,0,0,1,915,3609,26,155,1240,4,,,,Iowa St.
3,74,BUF,Devin Singletary,RB,22,2022,0,0,4,28,28,61,0,0,0,0,0,672,3151,16,145,971,4,3,,,Florida Atlantic
3,75,GNB,Jace Sternberger,TE,23,2020,0,0,0,1,1,18,0,0,0,0,0,0,0,0,12,114,1,,,,Texas A&M
3,76,WAS,Terry McLaurin,WR,23,2022,0,1,4,31,31,63,0,0,0,0,0,10,71,0,299,4281,21,5,,,Ohio St.
3,77,NWE,Chase Winovich,DE,24,2022,0,0,0,11,10,53,0,0,0,0,0,0,0,0,0,0,0,70,1,12,Michigan
3,78,MIA,Michael Deiter,G,23,2022,0,0,1,11,11,57,0,0,0,0,0,0,0,0,1,0,0,,,,Wisconsin
3,79,LAR,David Long,CB,21,2022,0,0,0,6,6,52,0,0,0,0,0,0,0,0,0,0,0,67,1,,Michigan
3,80,CLE,Sione Takitaki,LB,24,2022,0,0,1,14,14,57,0,0,0,0,0,0,0,0,0,0,0,112,1,2,BYU
3,81,DET,Will Harris,S,23,2022,0,0,2,10,10,64,0,0,0,0,0,0,0,0,0,0,0,162,1,1.5,Boston Col.
3,82,TEN,Nate Davis,G,22,2022,0,0,4,23,23,55,0,0,0,0,0,0,0,0,0,0,0,1,,,Charlotte
3,83,PIT,Justin Layne,CB,21,2022,0,0,0,3,3,52,0,0,0,0,0,0,0,0,0,0,0,32,,,Michigan St.
3,84,KAN,Khalen Saunders,DT,23,2022,0,0,0,5,5,38,0,0,0,0,0,0,0,0,0,0,0,40,,4.5,Western Illinois
3,85,BAL,Jaylon Ferguson,DE,23,2021,0,0,1,8,8,38,0,0,0,0,0,0,0,0,0,0,0,44,,4.5,Louisiana Tech
3,86,HOU,Kahale Warring,TE,22,2021,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,35,0,,,,San Diego St.
3,87,NWE,Damien Harris,RB,22,2022,0,0,3,15,15,38,0,0,0,0,0,449,2094,20,40,281,0,,,,Alabama
3,88,SEA,Cody Barton,LB,22,2022,0,0,1,10,10,65,0,0,0,0,0,0,0,0,0,0,0,140,2,2,Utah
3,89,IND,Bobby Okereke,LB,23,2022,0,0,4,22,22,64,0,0,0,0,0,0,0,0,0,0,0,293,3,2,Stanford
3,90,DAL,Connor McGovern,G,21,2022,0,0,1,14,14,45,0,0,0,0,0,0,0,0,0,0,0,1,,,Penn St.
3,91,LAC,Trey Pipkins,T,23,2022,0,0,1,15,15,52,0,0,0,0,0,0,0,0,0,0,0,,,,Sioux Falls
3,92,NYJ,Chuma Edoga,T,22,2022,0,0,0,6,5,26,0,0,0,0,0,0,0,0,0,0,0,,,,USC
3,93,BAL,Miles Boykin,WR,22,2022,0,0,2,6,6,56,0,0,0,0,0,0,0,0,35,481,7,11,,,Notre Dame
3,94,TAM,Jamel Dean,CB,22,2022,0,0,2,14,14,57,0,0,0,0,0,0,0,0,0,0,0,156,7,,Auburn
3,95,NYG,Oshane Ximines,DE,22,2022,0,0,0,8,8,45,0,0,0,0,0,0,0,0,0,0,0,34,,6.5,Old Dominion
3,96,BUF,Dawson Knox,TE,22,2022,0,1,4,16,16,57,0,0,0,0,0,1,13,0,149,1780,20,3,,,Mississippi
3,97,LAR,Bobby Evans,T,22,2022,0,0,0,7,7,35,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma
3,98,JAX,Quincy Williams,S,23,2022,0,0,3,14,3,49,0,0,0,0,0,0,0,0,0,0,0,182,,5,Murray St.
3,99,TAM,Mike Edwards,S,23,2022,0,0,1,13,13,58,0,0,0,0,0,0,0,0,0,0,0,125,7,2,Kentucky
3,100,CAR,Will Grier,QB,24,2019,0,0,0,1,1,2,28,52,228,0,4,7,22,0,0,0,0,,,,West Virginia
3,101,NWE,Yodny Cajuste,T,23,2022,0,0,0,4,4,17,0,0,0,0,0,0,0,0,0,0,0,1,,,West Virginia
3,102,MIN,Alexander Mattison,RB,21,2022,0,0,0,14,14,59,0,0,0,0,0,404,1670,11,70,526,3,,,,Boise St.
4,103,ARI,Hakeem Butler,WR,23,2020,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,,,,Iowa St.
4,104,CIN,Ryan Finley,QB,24,2020,0,0,0,2,2,8,58,119,638,3,4,21,143,1,0,0,0,,,,North Carolina St.
4,105,NOR,C.J. Gardner-Johnson,S,21,2022,0,0,3,16,11,55,0,0,0,0,0,0,0,0,0,0,0,183,11,4,Florida
4,106,OAK,Maxx Crosby,DE,22,2022,0,2,4,34,34,66,0,0,0,0,0,0,0,0,0,0,0,150,,37.5,East. Michigan
4,107,TAM,Anthony Nelson,DE,22,2022,0,0,0,11,11,59,0,0,0,0,0,0,0,0,0,0,0,51,,11.5,Iowa
4,108,NYG,Julian Love,CB,21,2022,0,0,1,13,13,64,0,0,0,0,0,0,0,0,0,0,0,192,5,1.5,Notre Dame
4,109,IND,Khari Willis,S,23,2021,0,0,1,12,12,39,0,0,0,0,0,0,0,0,0,0,0,161,4,3.5,Michigan St.
4,110,SFO,Mitch Wishnowsky,P,27,2022,0,0,1,7,7,66,0,0,0,0,0,0,0,0,0,0,0,9,,,Utah
4,111,ATL,Kendall Sheffield,CB,23,2021,0,0,0,6,6,38,0,0,0,0,0,0,0,0,0,0,0,72,,,Ohio St.
4,112,WAS,Bryce Love,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,Stanford
4,113,BAL,Justice Hill,RB,21,2022,0,0,0,6,6,43,0,0,0,0,0,119,547,2,25,148,0,12,,,Oklahoma St.
4,114,MIN,Dru Samia,G,22,2020,0,0,0,3,3,15,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma
4,115,CAR,Christian Miller,LB,23,2019,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,2,,2,Alabama
4,116,TEN,Amani Hooker,S,21,2022,0,0,2,10,10,53,0,0,0,0,0,1,4,0,1,6,0,127,6,,Iowa
4,117,DET,Austin Bryant,DE,22,2022,0,0,0,5,5,33,0,0,0,0,0,0,0,0,0,0,0,42,,4.5,Clemson
4,118,NWE,Hjalte Froholdt,G,23,2022,0,0,0,3,0,31,0,0,0,0,0,0,0,0,0,0,0,,,,Arkansas
4,119,CLE,Sheldrick Redwine,S,22,2021,0,0,0,4,4,33,0,0,0,0,0,0,0,0,0,0,0,52,1,0.5,Miami (FL)
4,120,SEA,Gary Jennings Jr,WR,22,2019,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,,,West Virginia
4,121,NYJ,Trevon Wesco,TE,23,2022,0,0,0,0,0,54,0,0,0,0,0,2,2,0,8,113,0,6,,,West Virginia
4,122,PIT,Benny Snell Jr.,RB,21,2022,0,0,0,8,8,63,0,0,0,0,0,275,982,7,17,114,0,14,,,Kentucky
4,123,BAL,Ben Powers,G,22,2022,0,0,3,14,14,47,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma
4,124,SEA,Phil Haynes,G,23,2022,0,0,0,3,3,22,0,0,0,0,0,0,0,0,0,0,0,,,,Wake Forest
4,125,CIN,Renell Wren,DT,23,2022,0,0,0,2,2,13,0,0,0,0,0,0,0,0,0,0,0,4,,,Arizona St.
4,126,CHI,Riley Ridley,WR,23,2020,0,0,0,1,1,10,0,0,0,0,0,0,0,0,10,108,0,,,,Georgia
4,127,BAL,Iman Marshall,CB,22,2019,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,,,USC
4,128,DAL,Tony Pollard,RB,22,2022,0,1,0,25,25,62,0,0,0,0,0,510,2616,17,121,1008,5,6,,,Memphis
4,129,OAK,Isaiah Johnson,CB,23,2020,0,0,0,1,1,19,0,0,0,0,0,0,0,0,0,0,0,8,,,Houston
4,130,LAC,Drue Tranquill,LB,24,2022,0,0,1,14,14,47,0,0,0,0,0,0,0,0,0,0,0,202,1,6.5,Notre Dame
4,131,WAS,Wes Martin,G,23,2022,0,0,0,6,5,38,0,0,0,0,0,0,0,0,0,0,0,1,,,Indiana
4,132,SEA,Ugo Amadi,S,22,2022,0,0,1,6,6,50,0,0,0,0,0,0,0,0,0,0,0,106,1,,Oregon
4,133,NWE,Jarrett Stidham,QB,23,2022,0,0,0,4,1,13,77,131,926,6,7,23,89,0,0,0,0,2,,,Auburn
4,134,LAR,Greg Gaines,DT,23,2022,0,0,2,13,13,59,0,0,0,0,0,0,0,0,0,0,0,59,,10.5,Washington
4,135,ATL,John Cominsky,DE,23,2022,0,0,0,7,3,41,0,0,0,0,0,0,0,0,0,0,0,37,,5.5,Charleston (WV)
4,136,CIN,Michael Jordan,G,21,2022,0,0,2,11,8,55,0,0,0,0,0,0,0,0,0,0,0,2,,,Ohio St.
4,137,OAK,Foster Moreau,TE,22,2022,0,0,3,9,9,61,0,0,0,0,0,0,2,0,91,1107,12,6,,,LSU
4,138,PHI,Shareef Miller,DE,22,2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Penn St.
5,139,ARI,Deionte Thompson,S,22,2022,0,0,0,4,4,44,0,0,0,0,0,0,0,0,0,0,0,37,,,Alabama
5,140,JAX,Ryquell Armstead,RB,22,2021,0,0,0,2,2,18,0,0,0,0,0,50,188,0,17,160,2,1,,,Temple
5,141,PIT,Zach Gentry,TE,22,2022,0,0,2,2,2,40,0,0,0,0,0,0,0,0,39,303,0,1,,,Michigan
5,142,SEA,Ben Burr-Kirven,LB,21,2020,0,0,0,2,2,32,0,0,0,0,0,0,0,0,0,0,0,10,,,Washington
5,143,NYG,Ryan Connelly,LB,23,2022,0,0,0,4,2,31,0,0,0,0,0,0,0,0,0,0,0,19,2,1,Wisconsin
5,144,IND,Marvell Tell III,S,23,2019,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,23,,,USC
5,145,TAM,Matt Gay,K,25,2022,0,1,1,14,3,57,0,0,0,0,0,0,0,0,0,0,0,2,,,Utah
5,146,DET,Amani Oruwariye,CB,23,2022,0,0,2,11,11,53,0,0,0,0,0,0,0,0,0,0,0,143,9,,Penn St.
5,147,BUF,Vosean Joseph,LB,21,,0,0,0,,,,,,,,,,,,,,,,,,Florida
5,148,SFO,Dre Greenlaw,LB,22,2022,0,0,3,22,22,47,0,0,0,0,0,0,0,0,0,0,0,217,3,2,Arkansas
5,149,OAK,Hunter Renfrow,WR,23,2022,0,1,0,20,20,56,0,0,0,0,0,3,3,0,244,2629,17,6,,,Clemson
5,150,GNB,Kingsley Keke,DT,22,2021,0,0,1,9,9,41,0,0,0,0,0,0,0,0,0,0,0,25,,6.5,Texas A&M
5,151,MIA,Andrew Van Ginkel,LB,24,2022,0,0,2,19,19,56,0,0,0,0,0,0,0,0,0,0,0,114,1,11,Wisconsin
5,152,ATL,Qadree Ollison,RB,22,2022,0,0,0,1,1,22,0,0,0,0,0,44,158,5,5,19,0,6,,,Pittsburgh
5,153,WAS,Ross Pierschbacher,G,24,2022,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama
5,154,CAR,Jordan Scarlett,RB,23,2021,0,0,0,0,0,10,0,0,0,0,0,4,9,0,0,0,0,1,,,Florida
5,155,CLE,Mack Wilson,LB,21,2022,0,0,2,15,13,60,0,0,0,0,0,0,0,0,0,0,0,122,1,2.5,Alabama
5,156,DEN,Justin Hollins,LB,23,2022,0,0,0,8,1,55,0,0,0,0,0,0,0,0,0,0,0,63,,9.5,Oregon
5,157,NYJ,Blake Cashman,LB,23,2022,0,0,0,6,4,30,0,0,0,0,0,0,0,0,0,0,0,53,,3.5,Minnesota
