Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ
1,1,JAX,Trevor Lawrence,QB,21,2022,0,1,2,21,21,34,746,1186,7754,37,25,135,625,7,0,0,0,4,,,Clemson
1,2,NYJ,Zach Wilson,QB,22,2022,0,0,2,9,9,22,345,625,4022,15,18,57,287,5,1,2,1,1,,,BYU
1,3,SFO,Trey Lance,QB,21,2022,0,0,0,4,4,8,56,102,797,5,3,54,235,1,0,0,0,1,,,North Dakota St.
1,4,ATL,Kyle Pitts,TE,20,2022,0,1,2,12,12,27,0,0,0,0,0,0,0,0,96,1382,3,3,,,Florida
1,5,CIN,Ja'Marr Chase,WR,21,2022,0,2,2,23,23,29,0,0,0,0,0,12,29,0,168,2501,22,6,,,LSU
1,6,MIA,Jaylen Waddle,WR,22,2022,0,0,2,19,19,33,0,0,0,0,0,5,29,1,179,2371,14,4,,,Alabama
1,7,DET,Penei Sewell,OL,20,2022,0,1,2,20,20,33,0,0,0,0,0,0,0,0,1,9,0,,,,Oregon
1,8,CAR,Jaycee Horn,DB,21,2022,0,0,1,6,6,16,0,0,0,0,0,0,0,0,0,0,0,40,4,,South Carolina
1,9,DEN,Patrick Surtain II,DB,21,2022,1,1,2,21,21,33,0,0,0,0,0,0,0,0,0,0,0,91,6,,Alabama
1,10,PHI,DeVonta Smith,WR,22,2022,0,0,2,23,23,34,0,0,0,0,0,0,0,0,159,2112,12,1,,,Alabama
1,11,CHI,Justin Fields,QB,22,2022,0,0,1,22,22,27,351,588,4112,24,21,232,1563,10,0,0,0,,,,Ohio St.
1,12,DAL,Micah Parsons,LB,22,2022,2,2,2,36,36,33,0,0,0,0,0,0,0,0,0,0,0,106,,26.5,Penn St.
1,13,LAC,Rashawn Slater,OL,22,2022,0,1,1,16,16,19,0,0,0,0,0,0,0,0,0,0,0,,,,Northwestern
1,14,NYJ,Alijah Vera-Tucker,OL,22,2022,0,0,1,7,7,23,0,0,0,0,0,0,0,0,0,0,0,,,,USC
1,15,NWE,Mac Jones,QB,23,2022,0,1,2,22,22,31,640,963,6798,36,24,91,231,1,0,0,0,1,,,Alabama
1,16,ARI,Zaven Collins,LB,22,2022,0,0,1,9,9,33,0,0,0,0,0,0,0,0,0,0,0,76,1,2,Tulsa
1,17,LVR,Alex Leatherwood,OL,22,2022,0,0,1,8,8,21,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama
1,18,MIA,Jaelan Phillips,DL,22,2022,0,0,1,12,12,34,0,0,0,0,0,0,0,0,0,0,0,60,,15.5,Miami (FL)
1,19,WAS,Jamin Davis,LB,22,2022,0,0,1,12,12,32,0,0,0,0,0,0,0,0,0,0,0,116,,4,Kentucky
1,20,NYG,Kadarius Toney,WR,22,2022,0,0,0,5,3,19,1,3,19,0,0,10,88,1,55,591,2,,,,Florida
1,21,IND,Kwity Paye,DL,22,2022,0,0,2,13,13,27,0,0,0,0,0,0,0,0,0,0,0,48,,10,Michigan
1,22,TEN,Caleb Farley,DB,22,2022,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,13,,,Virginia Tech
1,23,MIN,Christian Darrisaw,OL,22,2022,0,0,1,12,12,26,0,0,0,0,0,0,0,0,0,0,0,,,,Virginia Tech
1,24,PIT,Najee Harris,RB,23,2022,0,1,2,16,16,34,1,1,4,0,0,579,2234,14,115,696,6,4,,,Alabama
1,25,JAX,Travis Etienne,RB,22,2022,0,0,1,11,11,17,0,0,0,0,0,220,1125,5,35,316,0,,,,Clemson
1,26,CLE,Greg Newsome II,DB,21,2022,0,0,2,7,7,27,0,0,0,0,0,0,0,0,0,0,0,64,,0.5,Northwestern
1,27,BAL,Rashod Bateman,WR,21,2022,0,0,0,7,7,18,0,0,0,0,0,0,0,0,61,800,3,,,,Minnesota
1,28,NOR,Payton Turner,DE,23,2022,0,0,0,2,2,13,0,0,0,0,0,0,0,0,0,0,0,20,,3,Houston
1,29,GNB,Eric Stokes,DB,22,2022,0,0,2,6,6,25,0,0,0,0,0,0,0,0,0,0,0,64,1,,Georgia
1,30,BUF,Gregory Rousseau,DL,21,2022,0,0,2,17,17,30,0,0,0,0,0,0,0,0,0,0,0,69,1,12,Miami (FL)
1,31,BAL,Odafe Oweh,DE,22,2022,0,0,0,7,7,32,0,0,0,0,0,0,0,0,0,0,0,53,,8,Penn St.
1,32,TAM,Joe Tryon-Shoyinka,OLB,22,2022,0,0,1,12,12,34,0,0,0,0,0,0,0,0,0,0,0,44,,8,Washington
2,33,JAX,Tyson Campbell,DB,21,2022,0,0,2,12,12,32,0,0,0,0,0,0,0,0,0,0,0,104,5,,Georgia
2,34,NYJ,Elijah Moore,WR,21,2022,0,0,1,7,7,27,0,0,0,0,0,10,59,1,80,984,6,4,,,Mississippi
2,35,DEN,Javonte Williams,RB,21,2022,0,0,0,9,9,21,0,0,0,0,0,250,1107,4,59,392,3,1,,,North Carolina
2,36,MIA,Jevon Holland,S,21,2022,0,0,2,12,12,33,0,0,0,0,0,0,0,0,0,0,0,125,4,4,Oregon
2,37,PHI,Landon Dickerson,OL,22,2022,0,1,2,16,16,31,0,0,0,0,0,0,0,0,0,0,0,1,,,Alabama
2,38,NWE,Christian Barmore,DL,22,2022,0,0,0,5,5,27,0,0,0,0,0,0,0,0,0,0,0,35,,4,Alabama
2,39,CHI,Teven Jenkins,OL,23,2022,0,0,1,6,6,19,0,0,0,0,0,0,0,0,0,0,0,1,,,Oklahoma St.
2,40,ATL,Richie Grant,DB,23,2022,0,0,1,7,7,33,0,0,0,0,0,0,0,0,0,0,0,98,2,,Central Florida
2,41,DET,Levi Onwuzurike,DL,23,2021,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,15,,1,Washington
2,42,MIA,Liam Eichenberg,OL,23,2022,0,0,2,12,12,27,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame
2,43,LVR,Tre'von Moehrig,S,22,2022,0,0,2,9,9,32,0,0,0,0,0,0,0,0,0,0,0,73,1,,TCU
2,44,DAL,Kelvin Joseph,DB,20,2022,0,0,0,2,2,26,0,0,0,0,0,0,0,0,0,0,0,30,,,Kentucky
2,45,JAX,Walker Little,T,22,2022,0,0,0,4,4,26,0,0,0,0,0,0,0,0,0,0,0,,,,Stanford
2,46,CIN,Jackson Carman,T,21,2022,0,0,0,4,4,20,0,0,0,0,0,0,0,0,0,0,0,,,,Clemson
2,47,LAC,Asante Samuel Jr.,DB,21,2022,0,0,2,8,8,29,0,0,0,0,0,0,0,0,0,0,0,81,4,,Florida St.
2,48,SFO,Aaron Banks,OL,24,2022,0,0,1,8,8,25,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame
2,49,ARI,Rondale Moore,WR,21,2022,0,0,0,8,8,22,0,0,0,0,0,24,71,0,95,849,2,1,,,Purdue
2,50,NYG,Azeez Ojulari,OLB,21,2022,0,0,1,10,10,24,0,0,0,0,0,0,0,0,0,0,0,38,,13.5,Georgia
2,51,WAS,Samuel Cosmi,OL,22,2022,0,0,0,7,7,23,0,0,0,0,0,0,0,0,0,0,0,,,,Texas
2,52,CLE,Jeremiah Owusu-Koramoah,LB,21,2022,0,0,1,8,8,25,0,0,0,0,0,0,0,0,0,0,0,94,,1.5,Notre Dame
2,53,TEN,Dillon Radunz,T,23,2022,0,0,0,3,3,23,0,0,0,0,0,0,0,0,0,0,0,1,,,North Dakota St.
2,54,IND,Dayo Odeyingbo,DL,21,2022,0,0,0,4,4,27,0,0,0,0,0,0,0,0,0,0,0,23,,5.5,Vanderbilt
2,55,PIT,Pat Freiermuth,TE,22,2022,0,0,0,10,10,32,0,0,0,0,0,0,0,0,123,1229,9,2,,,Penn St.
2,56,SEA,D'Wayne Eskridge,WR,24,2022,0,0,0,2,2,20,0,0,0,0,0,6,69,0,17,122,1,1,,,Western Michigan
2,57,LAR,Tutu Atwell,WR,21,2022,0,0,0,3,3,21,0,0,0,0,0,9,34,1,18,298,1,,,,Louisville
2,58,KAN,Nick Bolton,LB,21,2022,0,0,2,13,13,33,0,0,0,0,0,0,0,0,0,0,0,178,2,2,Missouri
2,59,CAR,Terrace Marshall Jr.,WR,21,2022,0,0,1,5,5,27,0,0,0,0,0,0,0,0,45,628,1,1,,,LSU
2,60,NOR,Pete Werner,LB,22,2022,0,0,1,10,10,27,0,0,0,0,0,0,0,0,0,0,0,92,,,Ohio St.
2,61,BUF,Boogie Basham,DL,23,2022,0,0,0,3,3,23,0,0,0,0,0,0,0,0,0,0,0,20,1,4.5,Wake Forest
2,62,GNB,Josh Myers,C,23,2022,0,0,1,12,12,23,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.
2,63,KAN,Creed Humphrey,OL,22,2022,0,1,2,22,22,34,0,0,0,0,0,0,0,0,0,0,0,1,,,Oklahoma
2,64,TAM,Kyle Trask,QB,23,2022,0,0,0,0,0,1,3,9,23,0,0,0,0,0,0,0,0,,,,Florida
3,65,JAX,Andre Cisco,DB,21,2022,0,0,1,8,8,32,0,0,0,0,0,0,0,0,0,0,0,68,3,1,Syracuse
3,66,MIN,Kellen Mond,QB,22,2021,0,0,0,0,0,1,2,3,5,0,0,0,0,0,0,0,0,,,,Texas A&M
3,67,HOU,Davis Mills,QB,22,2022,0,0,2,14,14,28,555,873,5782,33,25,50,152,2,0,0,0,2,,,Stanford
3,68,ATL,Jalen Mayfield,OL,21,2021,0,0,1,7,7,16,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan
3,69,CIN,Joseph Ossai,LB,21,2022,0,0,0,3,3,16,0,0,0,0,0,0,0,0,0,0,0,6,,3.5,Texas
3,70,CAR,Brady Christensen,OL,24,2022,0,0,1,10,10,33,0,0,0,0,0,0,0,0,0,0,0,1,,,BYU
3,71,NYG,Aaron Robinson,DB,23,2022,0,0,0,2,2,11,0,0,0,0,0,0,0,0,0,0,0,21,,,Central Florida
3,72,DET,Alim McNeill,DT,21,2022,0,0,1,9,9,34,0,0,0,0,0,0,0,0,0,0,0,32,,3,North Carolina St.
3,73,PHI,Milton Williams,DL,22,2022,0,0,0,3,3,34,0,0,0,0,0,0,0,0,0,0,0,34,,6,Louisiana Tech
3,74,WAS,Benjamin St-Juste,DB,23,2022,0,0,1,5,5,21,0,0,0,0,0,0,0,0,0,0,0,54,,2,Minnesota
3,75,DAL,Osa Odighizuwa,DL,23,2022,0,0,2,14,14,33,0,0,0,0,0,0,0,0,0,0,0,48,,6,UCLA
3,76,NOR,Paulson Adebo,CB,22,2022,0,0,2,11,11,30,0,0,0,0,0,0,0,0,0,0,0,106,3,,Stanford
3,77,LAC,Josh Palmer,WR,22,2022,0,0,1,9,9,33,0,0,0,0,0,2,10,0,105,1122,7,2,,,Tennessee
3,78,MIN,Chazz Surratt,LB,24,2022,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,1,,,North Carolina
3,79,LVR,Malcolm Koonce,DE,23,2022,0,0,0,1,1,22,0,0,0,0,0,0,0,0,0,0,0,8,,2,Buffalo
3,80,LVR,Divine Deablo,DB,23,2022,0,0,0,8,8,25,0,0,0,0,0,0,0,0,0,0,0,66,,,Virginia Tech
3,81,MIA,Hunter Long,TE,23,2022,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,8,0,1,,,Boston Col.
3,82,WAS,Dyami Brown,WR,21,2022,0,0,0,2,2,30,0,0,0,0,0,2,11,0,17,308,2,2,,,North Carolina
3,83,CAR,Tommy Tremble,TE,21,2022,0,0,1,3,3,33,0,0,0,0,0,3,11,1,39,354,4,5,,,Notre Dame
3,84,DAL,Chauncey Golston,DL,23,2022,0,0,0,3,3,30,0,0,0,0,0,0,0,0,0,0,0,27,,2,Iowa
3,85,GNB,Amari Rodgers,WR,21,2022,0,0,0,2,1,32,0,0,0,0,0,3,18,0,20,249,1,3,,,Clemson
3,86,MIN,Wyatt Davis,OL,22,2022,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.
3,87,PIT,Kendrick Green,OL,22,2021,0,0,1,5,5,15,0,0,0,0,0,0,0,0,0,0,0,1,,,Illinois
3,88,SFO,Trey Sermon,RB,22,2022,0,0,0,1,1,11,0,0,0,0,0,43,186,1,3,26,0,1,,,Ohio St.
3,89,HOU,Nico Collins,WR,22,2022,0,0,0,7,7,24,0,0,0,0,0,0,0,0,70,927,3,2,,,Michigan
3,90,MIN,Patrick Jones II,DL,22,2022,0,0,0,2,2,25,0,0,0,0,0,0,0,0,0,0,0,20,,4,Pittsburgh
