Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ
1,1,TAM,Jameis Winston,QB,21,2022,0,1,5,59,54,86,1738,2835,21840,139,96,293,1220,11,0,0,0,,,,Florida St.
1,2,TEN,Marcus Mariota,QB,21,2022,0,0,5,54,43,87,1312,2095,15656,92,54,349,2012,17,2,62,1,1,,,Oregon
1,3,JAX,Dante Fowler,OLB,21,2022,0,0,2,24,5,108,0,0,0,0,0,0,0,0,0,0,0,159,,41,Florida
1,4,OAK,Amari Cooper,WR,21,2022,0,4,8,58,23,125,0,1,0,0,1,14,41,0,595,8236,55,2,,,Alabama
1,5,WAS,Brandon Scherff,T,23,2022,1,5,8,53,47,106,0,0,0,0,0,0,0,0,0,0,0,1,,,Iowa
1,6,NYJ,Leonard Williams,DE,21,2022,0,1,7,52,32,124,0,0,0,0,0,0,0,0,0,0,0,224,1,38,USC
1,7,CHI,Kevin White,WR,23,2022,0,0,0,3,2,30,0,0,0,0,0,1,9,0,28,397,0,2,,,West Virginia
1,8,ATL,Vic Beasley,OLB,23,2020,1,1,5,32,32,88,0,0,0,0,0,0,0,0,0,0,0,122,1,37.5,Clemson
1,9,NYG,Ereck Flowers,T,21,2021,0,0,7,35,18,105,0,0,0,0,0,0,0,0,1,-11,0,,,,Miami (FL)
1,10,STL,Todd Gurley,RB,21,2020,2,3,6,54,50,88,0,0,0,0,0,1460,6082,67,243,2254,12,,,,Georgia
1,11,MIN,Trae Waynes,CB,23,2021,0,0,3,19,19,79,0,0,0,0,0,0,0,0,0,0,0,226,7,1,Michigan St.
1,12,CLE,Danny Shelton,NT,22,2022,0,0,5,33,15,101,0,0,0,0,0,0,0,0,0,0,0,138,,6,Washington
1,13,NOR,Andrus Peat,T,21,2022,0,3,6,49,49,95,0,0,0,0,0,0,0,0,0,0,0,,,,Stanford
1,14,MIA,DeVante Parker,WR,22,2022,0,0,5,35,32,106,0,0,0,0,0,0,0,0,369,5266,27,3,,,Louisville
1,15,SDG,Melvin Gordon,RB,22,2022,0,2,7,50,38,108,0,0,0,0,0,1567,6462,55,309,2467,14,,,,Wisconsin
1,16,HOU,Kevin Johnson,CB,23,2020,0,0,0,11,8,64,0,0,0,0,0,0,0,0,0,0,0,153,1,1.5,Wake Forest
1,17,SFO,Arik Armstead,DT,21,2022,0,0,5,37,37,104,0,0,0,0,0,0,0,0,0,0,0,162,,28.5,Oregon
