Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ
1,1,KAN,Eric Fisher,T,22,2021,0,2,8,62,56,132,0,0,0,0,0,0,0,0,1,-3,1,,,,Central Michigan
1,2,JAX,Luke Joeckel,T,21,2017,0,0,3,21,16,50,0,0,0,0,0,0,0,0,0,0,0,1,,,Texas A&M
1,3,MIA,Dion Jordan,DE,23,2020,0,0,0,9,3,63,0,0,0,0,0,0,0,0,0,0,0,82,,13.5,Oregon
1,4,PHI,Lane Johnson,T,23,2022,2,4,9,70,70,127,0,0,0,0,0,0,0,0,1,5,1,,,,Oklahoma
1,5,DET,Ezekiel Ansah,DE,24,2020,0,1,5,39,37,93,0,0,0,0,0,0,0,0,0,0,0,174,,50.5,BYU
1,6,CLE,Barkevious Mingo,LB,22,2020,0,0,2,24,10,126,0,0,0,0,0,1,11,0,0,0,0,179,1,12.5,LSU
1,7,ARI,Jonathan Cooper,G,23,2018,0,0,2,16,7,46,0,0,0,0,0,0,0,0,0,0,0,,,,North Carolina
1,8,STL,Tavon Austin,WR,23,2021,0,0,4,26,22,113,0,1,0,0,0,199,1361,10,244,2239,16,3,,,West Virginia
1,9,NYJ,Dee Milliner,DB,21,2015,0,0,1,6,6,21,0,0,0,0,0,0,0,0,0,0,0,50,3,,Alabama
1,10,TEN,Chance Warmack,G,21,2018,0,0,3,22,20,68,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama
1,11,SDG,D.J. Fluker,T,22,2020,0,0,7,43,29,108,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama
1,12,OAK,D.J. Hayden,DB,23,2021,0,0,2,16,8,92,0,0,0,0,0,0,0,0,0,0,0,282,4,4.5,Houston
1,13,NYJ,Sheldon Richardson,DT,22,2021,0,1,8,61,32,138,0,0,0,0,0,4,4,2,0,0,0,297,1,33.5,Missouri
1,14,CAR,Star Lotulelei,DT,23,2021,0,0,7,48,28,119,0,0,0,0,0,0,0,0,0,0,0,116,1,16.5,Utah
1,15,NOR,Kenny Vaccaro,DB,22,2020,0,0,7,34,20,110,0,0,0,0,0,0,0,0,0,0,0,437,10,11.5,Texas
1,16,BUF,EJ Manuel,QB,23,2017,0,0,1,10,10,30,343,590,3767,20,16,96,339,4,0,0,0,,,,Florida St.
1,17,PIT,Jarvis Jones,LB,23,2016,0,0,1,17,17,50,0,0,0,0,0,0,0,0,0,0,0,84,2,6,Georgia
1,18,SFO,Eric Reid,DB,21,2019,0,1,7,33,26,99,0,0,0,0,0,0,0,0,0,0,0,404,11,6,LSU
1,19,NYG,Justin Pugh,T,23,2022,0,0,9,45,22,120,0,0,0,0,0,0,0,0,0,0,0,2,,,Syracuse
1,20,CHI,Kyle Long,G,24,2019,0,3,6,40,40,77,0,0,0,0,0,0,0,0,1,-1,0,,,,Oregon
1,21,CIN,Tyler Eifert,TE,22,2020,0,1,2,19,17,74,0,0,0,0,0,0,0,0,221,2501,26,,,,Notre Dame
1,22,ATL,Desmond Trufant,DB,22,2021,0,1,8,37,35,113,0,0,0,0,0,0,0,0,0,0,0,302,14,6,Washington
1,23,MIN,Sharrif Floyd,DT,21,2016,0,0,2,13,13,44,0,0,0,0,0,0,0,0,0,0,0,57,,9.5,Florida
1,24,IND,Bjoern Werner,DE,23,2015,0,0,1,10,10,38,0,0,0,0,0,0,0,0,0,0,0,58,,6.5,Florida St.
1,25,MIN,Xavier Rhodes,DB,23,2022,1,3,8,48,42,135,0,0,0,0,0,0,0,0,0,0,0,388,13,,Florida St.
1,26,GNB,Datone Jones,DE,23,2020,0,0,0,10,9,68,0,0,0,0,0,0,0,0,0,0,0,64,1,10,UCLA
1,27,HOU,DeAndre Hopkins,WR,21,2022,3,5,9,74,55,145,1,3,6,1,1,4,12,0,853,11298,71,2,,,Clemson
1,28,DEN,Sylvester Williams,DT,24,2020,0,0,4,29,22,102,0,0,0,0,0,0,0,0,0,0,0,93,,5.5,North Carolina
1,29,MIN,Cordarrelle Patterson,WR,22,2022,4,4,4,40,16,156,0,1,0,0,0,464,2330,22,289,2757,15,17,,,Tennessee
1,30,STL,Alec Ogletree,LB,21,2021,0,0,7,52,37,111,0,0,0,0,0,0,0,0,0,0,0,531,12,7.5,Georgia
1,31,DAL,Travis Frederick,C,22,2019,1,5,6,60,60,96,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin
1,32,BAL,Matt Elam,DB,22,2016,0,0,2,12,12,41,0,0,0,0,0,0,0,0,0,0,0,89,1,0.5,Florida
2,33,JAX,Johnathan Cyprien,DB,23,2020,0,0,5,25,21,79,0,0,0,0,0,0,0,0,0,0,0,381,2,3,Florida International
2,34,TEN,Justin Hunter,WR,22,2018,0,0,1,9,7,60,0,0,0,0,0,0,0,0,85,1349,13,,,,Tennessee
2,35,PHI,Zach Ertz,TE,22,2022,0,3,7,49,42,144,0,0,0,0,0,1,4,0,682,7247,45,,,,Stanford
