Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ
1,1,CLE,Myles Garrett,DE,21,2022,2,4,6,62,62,84,0,0,0,0,0,0,0,0,0,0,0,177,,74.5,Texas A&M
1,2,CHI,Mitchell Trubisky,QB,23,2022,0,1,4,36,33,64,1133,1765,11904,68,43,222,1119,11,0,0,0,,,,North Carolina
1,3,SFO,Solomon Thomas,DE,22,2022,0,0,2,17,15,82,0,0,0,0,0,0,0,0,0,0,0,103,,10,Stanford
1,4,JAX,Leonard Fournette,RB,22,2022,0,0,5,38,19,79,0,2,0,0,1,1132,4478,34,312,2219,7,1,,,LSU
1,5,TEN,Corey Davis,WR,22,2022,0,0,5,31,24,78,0,0,0,0,0,6,55,0,273,3879,17,,,,Western Michigan
1,6,NYJ,Jamal Adams,S,21,2022,1,3,5,42,29,71,0,0,0,0,0,0,0,0,0,0,0,328,4,21.5,LSU
1,7,LAC,Mike Williams,WR,22,2022,0,0,4,36,36,85,0,0,0,0,0,9,31,1,290,4557,30,,1,,Clemson
1,8,CAR,Christian McCaffrey,RB,21,2022,1,2,4,58,48,75,2,4,84,2,0,1025,4726,38,442,3756,22,1,,,Stanford
1,9,CIN,John Ross,WR,21,2021,0,0,1,7,5,37,0,0,0,0,0,9,41,0,62,957,11,,,,Washington
1,10,KAN,Patrick Mahomes,QB,21,2022,2,5,5,85,85,80,1985,2993,24241,192,49,299,1547,12,1,6,0,2,,,Texas Tech
1,11,NOR,Marshon Lattimore,CB,21,2022,0,4,5,37,37,80,0,0,0,0,0,0,0,0,0,0,0,265,14,,Ohio St.
1,12,HOU,Deshaun Watson,QB,21,2022,0,3,3,55,52,60,1285,1918,15641,111,41,343,1852,18,1,6,1,1,,,Clemson
1,13,ARI,Haason Reddick,LB,22,2022,0,1,4,37,15,97,0,0,0,0,0,0,0,0,0,0,0,234,,47,Temple
1,14,PHI,Derek Barnett,DE,21,2022,0,0,3,22,22,65,0,0,0,0,0,0,0,0,0,0,0,95,,21.5,Tennessee
1,15,IND,Malik Hooker,S,21,2022,0,0,3,17,13,67,0,0,0,0,0,0,0,0,0,0,0,155,11,,Ohio St.
1,16,BAL,Marlon Humphrey,CB,21,2022,1,3,5,46,46,90,0,0,0,0,0,0,0,0,0,0,0,281,12,5.5,Alabama
1,17,WAS,Jonathan Allen,DE,22,2022,0,2,5,44,44,85,0,0,0,0,0,0,0,0,0,0,0,195,1,33.5,Alabama
1,18,TEN,Adoree' Jackson,CB,21,2022,0,0,5,22,15,69,0,0,0,0,0,5,55,0,0,0,0,263,3,,USC
1,19,TAM,O.J. Howard,TE,22,2022,0,0,4,13,12,72,0,0,0,0,0,0,0,0,129,1882,17,,,,Alabama
1,20,DEN,Garett Bolles,T,25,2022,0,0,5,34,34,82,0,0,0,0,0,0,0,0,0,0,0,,,,Utah
1,21,DET,Jarrad Davis,LB,22,2022,0,0,3,22,20,68,0,0,0,0,0,0,0,0,0,0,0,226,1,11,Florida
1,22,MIA,Charles Harris,OLB,22,2022,0,0,1,14,4,77,0,0,0,0,0,0,0,0,0,0,0,86,,15,Missouri
1,23,NYG,Evan Engram,TE,23,2022,0,1,6,26,19,82,0,0,0,0,0,16,93,1,335,3594,20,2,,,Mississippi
1,24,OAK,Gareon Conley,CB,22,2019,0,0,1,9,7,31,0,0,0,0,0,0,0,0,0,0,0,65,4,,Ohio St.
1,25,CLE,Jabrill Peppers,S,21,2022,0,0,4,24,12,78,0,0,0,0,0,0,0,0,0,0,0,259,4,4.5,Michigan
1,26,ATL,Takkarist McKinley,DE,21,2022,0,0,2,15,13,64,0,0,0,0,0,0,0,0,0,0,0,63,,20,UCLA
1,27,BUF,Tre'Davious White,CB,22,2022,1,2,5,46,46,78,0,0,0,0,0,0,0,0,0,0,0,232,17,3,LSU
1,28,DAL,Taco Charlton,DE,22,2022,0,0,0,9,6,60,0,0,0,0,0,0,0,0,0,0,0,54,,11.5,Michigan
1,29,CLE,David Njoku,TE,21,2022,0,0,3,18,18,79,0,0,0,0,0,4,-6,0,206,2382,19,2,,,Miami (FL)
1,30,PIT,T.J. Watt,OLB,22,2022,3,5,6,66,66,87,0,0,0,0,0,0,0,0,0,0,0,243,6,77.5,Wisconsin
1,31,SFO,Reuben Foster,LB,23,2018,0,0,2,8,8,16,0,0,0,0,0,0,0,0,0,0,0,84,,,Alabama
1,32,NOR,Ryan Ramczyk,T,23,2022,1,0,5,61,61,89,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin
2,33,GNB,Kevin King,CB,22,2021,0,0,3,15,15,51,0,0,0,0,0,0,0,0,0,0,0,158,7,1,Washington
2,34,JAX,Cam Robinson,T,21,2022,0,0,5,31,31,75,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama
2,35,SEA,Malik McDowell,DT,21,2021,0,0,1,6,,15,0,0,0,0,0,0,0,0,0,0,0,19,,3,Michigan St.
2,36,ARI,Budda Baker,S,21,2022,2,5,5,47,47,93,0,0,0,0,0,0,0,0,0,0,0,468,7,7.5,Washington
2,37,BUF,Zay Jones,WR,22,2022,0,0,3,22,8,95,1,2,29,0,0,8,24,0,253,2707,16,3,,,East Carolina
2,38,LAC,Forrest Lamp,G,23,2021,0,0,1,8,8,26,0,0,0,0,0,0,0,0,0,0,0,,,,Western Kentucky
2,39,NYJ,Marcus Maye,S,24,2022,0,0,5,25,21,70,0,0,0,0,0,0,0,0,0,0,0,261,6,3.5,Florida
2,40,CAR,Curtis Samuel,WR,21,2022,0,0,4,23,18,75,0,0,0,0,0,114,676,6,255,2770,18,7,,,Ohio St.
2,41,MIN,Dalvin Cook,RB,22,2022,0,4,5,52,52,73,0,0,0,0,0,1282,5993,47,221,1794,5,2,,,Florida St.
2,42,NOR,Marcus Williams,S,20,2022,0,0,6,27,24,86,0,0,0,0,0,0,0,0,0,0,0,283,19,1,Utah
2,43,PHI,Sidney Jones,CB,21,2022,0,0,2,11,5,57,0,0,0,0,0,0,0,0,0,0,0,115,4,,Washington
2,44,LAR,Gerald Everett,TE,23,2022,0,0,2,20,10,92,0,0,0,0,0,9,51,1,233,2422,16,1,,,South Alabama
2,45,CHI,Adam Shaheen,TE,22,2021,0,0,1,4,2,55,0,0,0,0,0,0,0,0,50,509,7,1,,,Ashland
2,46,IND,Quincy Wilson,CB,21,2022,0,0,0,4,4,33,0,0,0,0,0,0,0,0,0,0,0,49,2,,Florida
2,47,BAL,Tyus Bowser,OLB,22,2022,0,0,1,19,19,89,0,0,0,0,0,0,0,0,0,0,0,93,4,19.5,Houston
2,48,CIN,Joe Mixon,RB,21,2022,0,1,4,42,42,80,0,0,0,0,0,1314,5378,40,231,1763,10,1,,,Oklahoma
2,49,WAS,Ryan Anderson,OLB,23,2022,0,0,0,6,6,57,0,0,0,0,0,0,0,0,0,0,0,56,,6,Alabama
2,50,TAM,Justin Evans,S,22,2022,0,0,2,10,8,39,0,0,0,0,0,0,0,0,0,0,0,110,4,,Texas A&M
2,51,DEN,DeMarcus Walker,DE,22,2022,0,0,0,12,6,66,0,0,0,0,0,0,0,0,0,0,0,75,,19.5,Florida St.
2,52,CLE,DeShone Kizer,QB,21,2018,0,0,1,6,5,18,275,518,3081,11,24,82,458,5,0,0,0,,,,Notre Dame
2,53,DET,Teez Tabor,CB,21,2022,0,0,0,5,3,38,0,0,0,0,0,0,0,0,0,0,0,47,,,Florida
2,54,MIA,Raekwon McMillan,LB,21,2022,0,0,2,13,9,61,0,0,0,0,0,0,0,0,0,0,0,147,,1,Ohio St.
2,55,NYG,Dalvin Tomlinson,DT,23,2022,0,0,6,35,25,93,0,0,0,0,0,0,0,0,0,0,0,143,,13,Alabama
2,56,OAK,Obi Melifonwu,S,23,2018,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,9,,,Connecticut
2,57,HOU,Zach Cunningham,LB,22,2022,0,0,4,33,29,82,0,0,0,0,0,0,0,0,0,0,0,392,1,6.5,Vanderbilt
2,58,SEA,Ethan Pocic,C,22,2022,0,0,2,24,19,70,0,0,0,0,0,0,0,0,0,0,0,,,,LSU
2,59,KAN,Tanoh Kpassagnon,DE,23,2022,0,0,2,19,14,84,0,0,0,0,0,0,0,0,0,0,0,81,,13,Villanova
2,60,DAL,Chidobe Awuzie,CB,22,2022,0,0,4,22,15,71,0,0,0,0,0,0,0,0,0,0,0,230,6,,Colorado
2,61,GNB,Josh Jones,S,22,2022,0,0,1,11,5,70,0,0,0,0,0,0,0,0,0,0,0,193,2,3,North Carolina St.
2,62,PIT,JuJu Smith-Schuster,WR,20,2022,0,1,4,39,30,79,0,0,0,0,0,4,22,1,401,4788,29,2,,,USC
2,63,BUF,Dion Dawkins,G,23,2022,0,2,6,45,45,95,0,0,0,0,0,0,0,0,2,8,2,2,,,Temple
2,64,CAR,Taylor Moton,G,23,2022,0,0,5,33,33,98,0,0,0,0,0,0,0,0,0,0,0,2,,,Western Michigan
3,65,CLE,Larry Ogunjobi,DT,23,2022,0,0,5,34,21,92,0,0,0,0,0,0,0,0,0,0,0,162,,23,Charlotte
3,66,SFO,Ahkello Witherspoon,CB,22,2022,0,0,2,15,12,60,0,0,0,0,0,0,0,0,0,0,0,130,8,,Colorado
3,67,NOR,Alvin Kamara,RB,22,2022,0,5,4,65,65,88,1,1,13,0,0,1135,5135,49,430,3753,22,,,,Tennessee
3,68,JAX,Dawuane Smoot,DE,22,2022,0,0,0,15,15,87,0,0,0,0,0,0,0,0,0,0,0,86,,22.5,Illinois
3,69,LAR,Cooper Kupp,WR,24,2022,1,1,5,52,52,80,0,4,0,0,0,23,132,1,508,6329,46,3,,,East. Washington
3,70,MIN,Pat Elflein,C,23,2022,0,0,3,27,21,65,0,0,0,0,0,0,0,0,0,0,0,1,,,Ohio St.
3,71,LAC,Dan Feeney,G,23,2022,0,0,4,30,27,96,0,0,0,0,0,0,0,0,0,0,0,,,,Indiana
3,72,TEN,Taywan Taylor,WR,22,2020,0,0,0,6,6,35,0,0,0,0,0,8,43,0,53,697,2,4,,,Western Kentucky
3,73,CIN,Jordan Willis,OLB,22,2022,0,0,0,8,4,69,0,0,0,0,0,0,0,0,0,0,0,55,,10.5,Kansas St.
3,74,BAL,Chris Wormley,DE,23,2022,0,0,3,17,8,80,0,0,0,0,0,0,0,0,0,0,0,80,,11,Michigan
3,75,ATL,Duke Riley,LB,23,2022,0,0,2,15,7,90,0,0,0,0,0,0,0,0,0,0,0,134,1,1.5,LSU
3,76,NOR,Alex Anzalone,LB,22,2022,0,0,2,21,10,69,0,0,0,0,0,0,0,0,0,0,0,211,3,6.5,Florida
3,77,CAR,Daeshon Hall,DE,22,2019,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,6,,1.5,Texas A&M
3,78,BAL,Tim Williams,OLB,23,2019,0,0,0,2,2,20,0,0,0,0,0,0,0,0,0,0,0,13,,2,Alabama
3,79,NYJ,ArDarius Stewart,WR,23,2017,0,0,0,1,1,15,0,0,0,0,0,7,27,0,6,82,0,,,,Alabama
3,80,IND,Tarell Basham,DE,23,2022,0,0,1,13,1,82,0,0,0,0,0,0,0,0,0,0,0,70,1,11,Ohio
3,81,WAS,Fabian Moreau,CB,23,2022,0,0,3,17,9,90,0,0,0,0,0,0,0,0,0,0,0,178,6,,UCLA
3,82,DEN,Carlos Henderson,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Louisiana Tech
3,83,NWE,Derek Rivers,DE,23,2021,0,0,0,4,2,24,0,0,0,0,0,0,0,0,0,0,0,11,,3.5,Youngstown St.
3,84,TAM,Chris Godwin,WR,21,2022,0,1,4,40,40,87,0,0,0,0,0,8,34,1,446,5666,32,8,,,Penn St.
3,85,NWE,Antonio Garcia,T,23,,0,0,0,,,,,,,,,,,,,,,,,,Troy
3,86,KAN,Kareem Hunt,RB,22,2022,0,1,2,43,25,76,0,0,0,0,0,895,4025,31,211,1806,17,,,,Toledo
