Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ
1,1,CLE,Baker Mayfield,QB,23,2022,0,0,4,46,40,72,1386,2259,16288,102,64,189,660,6,1,17,0,1,,,Oklahoma
1,2,NYG,Saquon Barkley,RB,21,2022,0,2,4,38,38,60,0,0,0,0,0,954,4249,29,247,1820,8,,,,Penn St.
1,3,NYJ,Sam Darnold,QB,21,2022,0,0,4,25,16,56,1054,1765,11767,61,55,188,745,12,0,0,0,,,,USC
1,4,CLE,Denzel Ward,CB,21,2022,0,2,5,28,28,66,0,0,0,0,0,0,0,0,0,0,0,193,13,0.5,Ohio St.
1,5,DEN,Bradley Chubb,DE,22,2022,0,2,2,29,26,57,0,0,0,0,0,0,0,0,0,0,0,112,1,28.5,North Carolina St.
1,6,IND,Quenton Nelson,G,22,2022,3,5,5,55,55,78,0,0,0,0,0,1,0,0,0,0,0,1,,,Notre Dame
1,7,BUF,Josh Allen,QB,22,2022,0,3,5,68,68,77,1604,2566,18397,138,60,546,3087,38,1,12,1,4,,,Wyoming
1,8,CHI,Roquan Smith,ILB,21,2022,1,1,5,53,40,78,0,0,0,0,0,0,0,0,0,0,0,451,8,18.5,Georgia
1,9,SFO,Mike McGlinchey,T,23,2022,0,0,4,31,31,69,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame
1,10,ARI,Josh Rosen,QB,21,2021,0,0,1,3,2,24,277,513,2864,12,21,26,151,0,0,0,0,,,,UCLA
1,11,MIA,Minkah Fitzpatrick,S,21,2022,3,3,4,48,4,79,0,0,0,0,0,0,0,0,0,0,0,295,19,,Alabama
1,12,TAM,Vita Vea,DT,23,2022,0,1,3,31,31,64,0,0,0,0,0,0,0,0,1,1,1,83,,18,Washington
1,13,WAS,Daron Payne,DT,21,2022,0,1,5,39,39,81,0,0,0,0,0,0,0,0,0,0,0,161,1,26,Alabama
1,14,NOR,Marcus Davenport,DE,22,2022,0,0,2,18,18,63,0,0,0,0,0,0,0,0,0,0,0,78,,21.5,Texas-San Antonio
1,15,OAK,Kolton Miller,T,22,2022,0,0,5,34,34,79,0,0,0,0,0,0,0,0,0,0,0,,,,UCLA
1,16,BUF,Tremaine Edmunds,ILB,20,2022,0,2,5,45,45,74,0,0,0,0,0,0,0,0,0,0,0,359,5,6.5,Virginia Tech
1,17,LAC,Derwin James,S,22,2022,1,3,3,24,24,50,0,0,0,0,0,0,0,0,0,0,0,237,7,9.5,Florida St.
1,18,GNB,Jaire Alexander,CB,21,2022,0,2,4,30,30,64,0,0,0,0,0,0,0,0,0,0,0,203,10,1.5,Louisville
1,19,DAL,Leighton Vander Esch,OLB,22,2022,0,1,5,33,33,66,0,0,0,0,0,0,0,0,0,0,0,279,3,3.5,Boise St.
1,20,DET,Frank Ragnow,C,22,2022,0,2,4,32,32,65,0,0,0,0,0,0,0,0,0,0,0,1,,,Arkansas
1,21,CIN,Billy Price,C,23,2022,0,0,3,18,9,69,0,0,0,0,0,0,0,0,0,0,0,2,,,Ohio St.
1,22,TEN,Rashaan Evans,ILB,22,2022,0,0,4,31,25,76,0,0,0,0,0,0,0,0,0,0,0,282,2,5,Alabama
1,23,NWE,Isaiah Wynn,T,22,2022,0,0,3,19,19,43,0,0,0,0,0,0,0,0,0,0,0,2,,,Georgia
1,24,CAR,D.J. Moore,WR,21,2022,0,0,5,39,39,80,0,1,0,0,0,39,335,0,364,5201,21,4,,,Maryland
1,25,BAL,Hayden Hurst,TE,25,2022,0,0,1,16,6,70,0,0,0,0,0,1,0,0,177,1718,14,2,,,South Carolina
1,26,ATL,Calvin Ridley,WR,23,2021,0,0,2,26,26,49,0,0,0,0,0,13,62,0,248,3342,28,1,,,Alabama
1,27,SEA,Rashaad Penny,RB,22,2022,0,0,0,13,13,42,0,0,0,0,0,337,1918,13,27,222,1,,,,San Diego St.
1,28,PIT,Terrell Edmunds,S,21,2022,0,0,5,25,25,79,0,0,0,0,0,0,0,0,0,0,0,276,5,5,Virginia Tech
1,29,JAX,Taven Bryan,DT,22,2022,0,0,3,16,10,79,0,0,0,0,0,0,0,0,0,0,0,62,,8.5,Florida
1,30,MIN,Mike Hughes,CB,21,2022,0,0,0,9,5,57,0,0,0,0,0,0,0,0,0,0,0,142,3,,Central Florida
1,31,NWE,Sony Michel,RB,23,2022,0,0,2,21,15,65,0,0,0,0,0,779,3243,18,56,439,2,1,,,Georgia
1,32,BAL,Lamar Jackson,QB,21,2022,1,2,4,69,69,70,1055,1655,12209,101,38,727,4437,24,0,0,0,1,,,Louisville
2,33,CLE,Austin Corbett,C,23,2022,0,0,4,24,1,72,0,0,0,0,0,0,0,0,0,0,0,3,,,Nevada
2,34,NYG,Will Hernandez,G,23,2022,0,0,4,28,22,75,0,0,0,0,0,0,0,0,0,0,0,,,,Texas-El Paso
2,35,CLE,Nick Chubb,RB,22,2022,0,4,5,45,45,75,0,0,0,0,0,1210,6341,48,119,990,4,2,,,Georgia
2,36,IND,Shaquille Leonard,LB,23,2022,3,3,4,56,56,61,0,0,0,0,0,0,0,0,0,0,0,351,12,15,South Carolina St.
2,37,IND,Braden Smith,G,22,2022,0,0,5,32,32,72,0,0,0,0,0,0,0,0,0,0,0,,,,Auburn
2,38,TAM,Ronald Jones II,RB,21,2022,0,0,2,18,17,61,0,0,0,0,0,505,2244,19,77,593,1,1,,,USC
2,39,CHI,James Daniels,C,20,2022,0,0,5,24,17,71,0,0,0,0,0,0,0,0,0,0,0,1,,,Iowa
2,40,DEN,Courtland Sutton,WR,22,2022,0,1,3,24,24,65,2,2,54,0,0,5,21,0,239,3487,14,5,,,SMU
2,41,TEN,Harold Landry,OLB,22,2021,0,1,3,28,28,64,0,0,0,0,0,0,0,0,0,0,0,164,2,31,Boston Col.
2,42,MIA,Mike Gesicki,TE,22,2022,0,0,1,19,19,81,0,1,0,0,0,0,0,0,231,2617,18,1,,,Penn St.
2,43,DET,Kerryon Johnson,RB,21,2021,0,0,1,11,11,35,0,0,0,0,0,283,1225,8,61,527,3,,,,Auburn
2,44,SFO,Dante Pettis,WR,22,2022,0,0,0,9,5,50,2,2,32,0,0,3,35,0,71,984,12,3,,,Washington
2,45,GNB,Josh Jackson,CB,22,2022,0,0,0,8,7,49,0,0,0,0,0,0,0,0,0,0,0,77,,,Iowa
2,46,KAN,Breeland Speaks,DE,22,2018,0,0,0,3,3,16,0,0,0,0,0,0,0,0,0,0,0,15,,1.5,Mississippi
2,47,ARI,Christian Kirk,WR,21,2022,0,0,5,33,24,73,1,2,33,0,0,21,153,0,320,4010,25,1,,,Texas A&M
2,48,LAC,Uchenna Nwosu,OLB,21,2022,0,0,2,21,13,79,0,0,0,0,0,0,0,0,0,0,0,127,1,24.5,USC
2,49,PHI,Dallas Goedert,TE,23,2022,0,0,5,25,25,69,0,0,0,0,0,0,0,0,248,2997,19,5,,,South Dakota St.
2,50,DAL,Connor Williams,T,21,2022,0,0,5,28,20,74,0,0,0,0,0,0,0,0,0,0,0,,,,Texas
2,51,CHI,Anthony Miller,WR,23,2021,0,0,2,12,12,50,1,1,8,0,0,9,37,0,140,1589,12,3,,,Memphis
2,52,IND,Kemoko Turay,OLB,23,2022,0,0,0,5,5,41,0,0,0,0,0,0,0,0,0,0,0,23,,12,Rutgers
2,53,TAM,M.J. Stewart,CB,22,2022,0,0,0,6,3,67,0,0,0,0,0,1,3,0,0,0,0,141,2,1,North Carolina
2,54,CIN,Jessie Bates III,S,21,2022,0,0,5,32,32,79,0,0,0,0,0,0,0,0,0,0,0,327,14,,Wake Forest
2,55,CAR,Donte Jackson,CB,22,2022,0,0,5,21,21,64,0,0,0,0,0,0,0,0,0,0,0,199,14,1,LSU
2,56,NWE,Duke Dawson,CB,22,2020,0,0,0,3,,26,0,0,0,0,0,0,0,0,0,0,0,17,,,Florida
2,57,OAK,P.J. Hall,DT,23,2020,0,0,2,11,8,40,0,0,0,0,0,0,0,0,0,0,0,52,,2.5,Sam Houston St.
2,58,ATL,Isaiah Oliver,CB,21,2022,0,0,2,12,12,62,0,0,0,0,0,0,0,0,0,0,0,153,2,2,Colorado
2,59,WAS,Derrius Guice,RB,21,2019,0,0,0,2,2,5,0,0,0,0,0,42,245,2,7,79,1,,,,LSU
2,60,PIT,James Washington,WR,22,2022,0,0,2,11,11,62,0,0,0,0,0,2,13,0,114,1629,11,1,,,Oklahoma St.
2,61,JAX,DJ Chark,WR,21,2022,0,1,3,18,13,54,0,0,0,0,0,2,20,0,177,2544,18,6,,,LSU
2,62,MIN,Brian O'Neill,T,22,2022,0,1,5,37,37,79,0,0,0,0,0,0,0,0,0,0,0,1,,,Pittsburgh
