Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ
1,1,IND,Andrew Luck,QB,22,2018,0,4,5,72,72,86,2000,3290,23671,171,83,332,1590,14,1,4,0,,,,Stanford
1,2,WAS,Robert Griffin III,QB,22,2020,0,1,3,36,31,56,799,1268,9271,43,30,307,1809,10,0,0,0,,,,Baylor
1,3,CLE,Trent Richardson,RB,22,2014,0,0,3,17,7,46,0,0,0,0,0,614,2032,17,113,912,2,,,,Alabama
1,4,MIN,Matt Kalil,T,23,2017,0,1,5,34,29,82,0,0,0,0,0,0,0,0,0,0,0,,,,USC
1,5,JAX,Justin Blackmon,WR,22,2013,0,0,1,9,9,20,0,0,0,0,0,3,22,0,93,1280,6,,,,Oklahoma St.
1,6,DAL,Morris Claiborne,DB,22,2019,0,0,5,25,13,85,0,0,0,0,0,0,0,0,0,0,0,213,7,,LSU
1,7,TAM,Mark Barron,DB,22,2019,0,0,7,58,11,119,0,0,0,0,0,0,0,0,0,0,0,541,9,12,Alabama
1,8,MIA,Ryan Tannehill,QB,24,2022,0,1,10,88,47,145,2914,4534,33265,212,108,423,2029,26,4,8,1,3,,,Texas A&M
1,9,CAR,Luke Kuechly,LB,21,2019,5,7,8,91,91,118,0,0,0,0,0,0,0,0,0,0,0,690,18,12.5,Boston Col.
1,10,BUF,Stephon Gilmore,DB,21,2022,2,5,10,69,19,148,0,0,0,0,0,0,0,0,0,0,0,427,29,1,South Carolina
1,11,KAN,Dontari Poe,DT,22,2020,0,2,8,55,41,128,1,1,2,1,0,2,2,2,0,0,0,205,,20.5,Memphis
1,12,PHI,Fletcher Cox,DT,21,2022,1,6,11,92,92,173,0,0,0,0,0,0,0,0,0,0,0,336,,65,Mississippi St.
1,13,ARI,Michael Floyd,WR,22,2018,0,0,3,28,27,102,0,0,0,0,0,1,2,0,266,3959,25,,,,Notre Dame
1,14,STL,Michael Brockers,DT,21,2022,0,0,10,58,53,160,0,0,0,0,0,0,0,0,0,0,0,274,,29,LSU
1,15,SEA,Bruce Irvin,DE,24,2022,0,0,6,42,22,138,0,0,0,0,0,0,0,0,0,0,0,234,3,55.5,West Virginia
1,16,NYJ,Quinton Coples,DE,22,2015,0,0,2,17,17,62,0,0,0,0,0,0,0,0,0,0,0,77,,16.5,North Carolina
1,17,CIN,Dre Kirkpatrick,DB,22,2021,0,0,5,31,25,119,0,0,0,0,0,0,0,0,0,0,0,313,13,3,Alabama
1,18,SDG,Melvin Ingram,DE,23,2022,0,3,6,57,52,145,0,0,0,0,0,1,0,0,0,0,0,292,3,57,South Carolina
1,19,CHI,Shea McClellin,DE,23,2016,0,0,3,17,13,66,0,0,0,0,0,0,0,0,0,0,0,114,,8.5,Boise St.
1,20,TEN,Kendall Wright,WR,22,2017,0,0,3,28,24,82,0,0,0,0,0,11,90,0,339,3858,19,,,,Baylor
1,21,NWE,Chandler Jones,DE,22,2022,2,4,10,77,25,154,0,0,0,0,0,0,0,0,0,0,0,352,1,112,Syracuse
1,22,CLE,Brandon Weeden,QB,28,2018,0,0,1,13,10,35,559,965,6462,31,30,62,200,1,0,-9,0,,,,Oklahoma St.
1,23,DET,Riley Reiff,T,23,2022,0,0,10,60,27,163,0,0,0,0,0,0,0,0,0,0,0,2,,,Iowa
1,24,PIT,David DeCastro,G,22,2020,2,6,8,69,69,125,0,0,0,0,0,0,0,0,0,0,0,,,,Stanford
1,25,NWE,Dont'a Hightower,LB,22,2021,0,2,8,65,65,117,0,0,0,0,0,0,0,0,0,0,0,353,1,27,Alabama
1,26,HOU,Whitney Mercilus,DE,22,2021,0,0,8,49,49,138,0,0,0,0,0,0,0,0,0,0,0,237,2,58,Illinois
1,27,CIN,Kevin Zeitler,G,22,2022,0,0,11,56,32,167,0,0,0,0,0,0,0,0,1,-4,0,1,,,Wisconsin
1,28,GNB,Nick Perry,DE,22,2018,0,0,3,22,22,81,0,0,0,0,0,0,0,0,0,0,0,139,1,32,USC
1,29,MIN,Harrison Smith,DB,23,2022,1,6,10,65,65,159,0,0,0,0,0,0,0,0,0,0,0,706,34,16.5,Notre Dame
1,30,SFO,A.J. Jenkins,WR,22,2014,0,0,0,2,0,28,0,0,0,0,0,4,4,0,17,223,0,,,,Illinois
